App_Version,Module,Bug_ID,Bug_Description,Severity,Status,Occurrences,Time_to_Fix_Days,Release_Date
v2.2,Payment,BUG-1000,NullPointerException in login flow,Medium,Open,9,22.2,2024-11-23
v2.1,API,BUG-1001,Payment gateway timeout,Low,Open,33,18.3,2024-07-28
v2.1,API,BUG-1002,Database connection drops randomly,Medium,Fixed,1,22.9,2023-06-13
v1.1,Search,BUG-1003,Crash on empty form submission,,Fixed,23,25.5,2024-09-10
v2.0,UI,BUG-1004,Search returns wrong results,High,Fixed,36,9.1,2024-10-05
v2.1,Search,BUG-1005,Dashboard not loading on mobile,Low,Open,19,29.6,2023-08-27
v2.0,Profile,BUG-1006,Profile picture not uploading,Medium,Open,18,21.2,2024-11-30
v1.1,UI,BUG-1007,Database connection drops randomly,Low,Fixed,41,20.8,2023-08-13
v3.0,Login,BUG-1008,Database connection drops randomly,High,Reopened,26,8.4,2023-08-05
v2.2,Profile,BUG-1009,API returns 500 error,Medium,Fixed,42,14.0,2023-09-29
v2.1,Notifications,BUG-1010,Push notification not received,Medium,Fixed,24,7.0,2023-05-22
v1.0,Payment,BUG-1011,Notification delay observed,Medium,Fixed,28,18.1,2024-01-30
v2.1,Notifications,BUG-1012,Filter not working on date range,High,Open,47,3.9,2024-07-03
v1.2,Payment,BUG-1013,Authentication token expiry issue,Medium,Fixed,47,26.3,2023-09-27
v2.1,Payment,BUG-1014,Authentication token expiry issue,High,Fixed,13,5.0,2023-06-15
v2.1,Login,BUG-1015,Password reset link expiring early,Medium,Open,24,26.4,2023-11-11
v2.1,Payment,BUG-1016,Dashboard not loading on mobile,Medium,Reopened,49,16.2,2023-05-09
v2.1,Dashboard,BUG-1017,UI elements misaligned on Safari,Medium,Fixed,14,27.9,2024-12-07
v2.2,Profile,BUG-1018,Button unresponsive after first click,High,Fixed,16,,2023-12-13
v2.1,Search,BUG-1019,NullPointerException in login flow,Low,Fixed,15,2.5,2023-02-02
v1.1,Notifications,BUG-1020,Session timeout too aggressive,Low,Open,37,17.5,2023-09-06
v1.1,Payment,BUG-1021,Search returns wrong results,Medium,Fixed,27,14.3,2023-02-25
v1.0,Login,BUG-1022,Memory leak in background service,Medium,Reopened,7,7.8,2023-07-14
v1.1,Notifications,BUG-1023,Button unresponsive after first click,Low,Reopened,29,24.3,2024-07-17
v2.1,Login,BUG-1024,Dashboard not loading on mobile,High,Reopened,11,12.5,2024-05-07
v1.0,Dashboard,BUG-1025,Memory leak in background service,Low,Fixed,30,8.9,2024-12-14
v2.1,Database,BUG-1026,Notification delay observed,Low,Open,4,,2024-07-09
v1.0,Auth,BUG-1027,Session timeout too aggressive,Medium,Reopened,11,2.2,2024-06-04
v2.1,Payment,BUG-1028,Database connection drops randomly,Medium,Reopened,37,,2024-08-31
v2.2,Auth,BUG-1029,Push notification not received,Medium,Reopened,14,20.3,2023-11-18
v2.2,Notifications,BUG-1030,Button unresponsive after first click,Medium,Fixed,5,0.8,2024-09-28
v1.0,UI,BUG-1031,API returns 500 error,Medium,Open,23,26.5,2023-09-08
v3.0,UI,BUG-1032,Authentication token expiry issue,Medium,Reopened,42,16.1,2024-11-14
v2.2,Payment,BUG-1033,Notification delay observed,Low,Reopened,48,16.8,2023-10-06
v1.2,Search,BUG-1034,UI elements misaligned on Safari,,Fixed,4,3.2,2024-03-09
v1.2,Dashboard,BUG-1035,UI elements misaligned on Safari,Low,Fixed,46,13.1,2023-01-10
v2.2,Dashboard,BUG-1036,Filter not working on date range,Low,Fixed,36,,2023-05-11
v3.0,Login,BUG-1037,Incorrect data displayed after refresh,Low,Open,7,10.9,2024-07-27
v2.1,Dashboard,BUG-1038,Database connection drops randomly,High,Reopened,12,26.5,2023-01-26
v3.0,API,BUG-1039,Database connection drops randomly,Low,Fixed,7,11.8,2023-02-09
v3.0,Database,BUG-1040,Incorrect data displayed after refresh,Medium,Fixed,15,7.1,2024-11-06
v3.0,Payment,BUG-1041,UI elements misaligned on Safari,,Fixed,44,29.4,2024-07-03
v1.2,Dashboard,BUG-1042,Push notification not received,High,Fixed,7,18.1,2023-12-20
v2.1,UI,BUG-1043,Search returns wrong results,Medium,Fixed,17,,2024-03-22
v2.1,Search,BUG-1044,Incorrect data displayed after refresh,Medium,Reopened,22,18.9,2024-11-10
v1.2,UI,BUG-1045,Authentication token expiry issue,Medium,Fixed,45,9.2,2023-05-11
v2.0,Dashboard,BUG-1046,Password reset link expiring early,Medium,Fixed,1,9.5,2023-08-04
v2.2,Profile,BUG-1047,Button unresponsive after first click,Medium,Fixed,33,14.5,2023-06-23
v2.2,Auth,BUG-1048,Crash on empty form submission,Low,Reopened,16,20.3,2023-08-19
v1.0,Search,BUG-1049,Session timeout too aggressive,Medium,Fixed,30,12.7,2024-10-06
v2.0,Database,BUG-1050,Memory leak in background service,Low,Fixed,1,26.8,2023-04-20
v3.0,UI,BUG-1051,Button unresponsive after first click,Low,Open,8,14.0,2024-04-20
v2.1,Profile,BUG-1052,Button unresponsive after first click,Medium,Fixed,33,13.1,2024-07-15
v3.0,Database,BUG-1053,Button unresponsive after first click,Low,Open,41,8.7,2024-06-17
v2.0,Payment,BUG-1054,Authentication token expiry issue,Low,Fixed,35,2.9,2023-06-04
v2.2,Search,BUG-1055,Dashboard not loading on mobile,Medium,Fixed,30,12.8,2023-07-31
v3.0,Auth,BUG-1056,NullPointerException in login flow,High,Fixed,25,14.6,2023-12-27
v3.0,API,BUG-1057,Filter not working on date range,Medium,Fixed,39,27.0,2024-05-14
v1.0,API,BUG-1058,Crash on empty form submission,Medium,Fixed,47,5.4,2024-04-23
v2.1,Login,BUG-1059,Memory leak in background service,Medium,Fixed,6,19.5,2023-05-19
v1.2,API,BUG-1060,Crash on empty form submission,Low,Fixed,49,26.4,2023-10-12
v1.2,Payment,BUG-1061,Session timeout too aggressive,Low,Fixed,23,7.1,2023-03-12
v3.0,Login,BUG-1062,Database connection drops randomly,Low,Open,10,7.5,2024-04-29
v1.1,Database,BUG-1063,UI elements misaligned on Safari,High,Open,39,28.9,2023-04-28
v1.2,Payment,BUG-1064,Push notification not received,Low,Fixed,44,27.3,2024-01-20
v1.0,Auth,BUG-1065,Database connection drops randomly,Low,Fixed,44,18.2,2023-05-04
v1.0,Profile,BUG-1066,Filter not working on date range,Medium,Fixed,33,19.6,2023-01-13
v1.0,API,BUG-1067,Incorrect data displayed after refresh,Medium,Reopened,46,5.0,2023-06-30
v1.2,Auth,BUG-1068,Filter not working on date range,High,Fixed,47,18.0,2023-11-27
v1.0,Notifications,BUG-1069,Button unresponsive after first click,Low,Fixed,40,,2023-12-11
v1.1,Database,BUG-1070,API returns 500 error,Medium,Fixed,18,26.5,2024-12-19
v2.1,Search,BUG-1071,Dashboard not loading on mobile,Low,Fixed,36,22.9,2024-12-08
v2.0,Login,BUG-1072,Dashboard not loading on mobile,Low,Fixed,16,9.5,2024-08-18
v1.2,API,BUG-1073,Filter not working on date range,Medium,Fixed,18,9.5,2023-08-25
v1.0,UI,BUG-1074,Profile picture not uploading,Low,Fixed,18,21.9,2024-06-21
v3.0,Search,BUG-1075,Authentication token expiry issue,Low,Open,1,21.4,2023-05-10
v2.1,Notifications,BUG-1076,Notification delay observed,Medium,Fixed,7,26.2,2024-08-10
v1.2,Dashboard,BUG-1077,Payment gateway timeout,Low,Reopened,8,24.8,2024-02-15
v2.2,Login,BUG-1078,Notification delay observed,Low,Fixed,20,3.0,2023-09-12
v2.1,Auth,BUG-1079,Password reset link expiring early,Low,Fixed,29,27.3,2023-11-01
v1.2,Auth,BUG-1080,Password reset link expiring early,Low,Reopened,7,28.5,2023-08-01
v1.0,Dashboard,BUG-1081,Database connection drops randomly,Low,Open,1,12.6,2024-12-06
v1.1,Notifications,BUG-1082,Authentication token expiry issue,Medium,Fixed,44,7.4,2023-09-28
v2.2,Search,BUG-1083,Slow query execution in reports,Low,Open,10,,2023-05-26
v1.2,Auth,BUG-1084,Push notification not received,High,Fixed,30,20.8,2024-12-17
v2.1,Database,BUG-1085,Button unresponsive after first click,Low,Open,28,22.2,2024-09-10
v2.2,Auth,BUG-1086,Push notification not received,High,Reopened,44,,2024-08-13
v2.0,UI,BUG-1087,Button unresponsive after first click,High,Open,38,13.4,2024-05-18
v2.0,Profile,BUG-1088,Crash on empty form submission,Medium,Reopened,22,12.6,2024-05-22
v3.0,UI,BUG-1089,Payment gateway timeout,Medium,Fixed,21,3.9,2024-02-18
v1.0,UI,BUG-1090,Button unresponsive after first click,Medium,Open,24,18.9,2024-05-25
v1.1,Notifications,BUG-1091,Filter not working on date range,Low,Fixed,45,14.8,2023-01-30
v1.1,Dashboard,BUG-1092,Authentication token expiry issue,Medium,Fixed,6,7.1,2023-04-27
v3.0,Dashboard,BUG-1093,Session timeout too aggressive,High,Fixed,46,8.6,2024-05-09
v2.1,Dashboard,BUG-1094,Memory leak in background service,Low,Fixed,48,26.4,2023-03-13
v2.0,Profile,BUG-1095,CSV export missing columns,Low,Open,47,9.3,2024-08-24
v3.0,Dashboard,BUG-1096,Button unresponsive after first click,Medium,Fixed,36,23.0,2024-01-22
v1.1,Search,BUG-1097,Push notification not received,Medium,Reopened,27,1.8,2024-04-29
v2.0,Dashboard,BUG-1098,Session timeout too aggressive,High,Open,38,10.3,2023-04-13
v2.1,Database,BUG-1099,NullPointerException in login flow,Medium,Fixed,42,29.1,2023-03-18
v1.2,Auth,BUG-1100,Memory leak in background service,Medium,Reopened,44,25.9,2024-01-25
v3.0,Database,BUG-1101,Filter not working on date range,Low,Open,41,20.7,2023-10-22
v2.0,Payment,BUG-1102,Search returns wrong results,Medium,Fixed,2,1.9,2023-02-27
v1.1,Search,BUG-1103,CSV export missing columns,Medium,Fixed,12,5.5,2023-03-22
v2.2,Search,BUG-1104,Session timeout too aggressive,,Open,30,19.3,2024-04-15
v3.0,Database,BUG-1105,Authentication token expiry issue,Medium,Open,29,28.4,2024-08-24
v2.2,Notifications,BUG-1106,Button unresponsive after first click,High,Open,25,25.7,2023-04-20
v2.1,Notifications,BUG-1107,Authentication token expiry issue,Low,Reopened,26,8.6,2024-08-02
v1.0,Auth,BUG-1108,Session timeout too aggressive,High,Reopened,50,24.1,2024-09-13
v1.1,Auth,BUG-1109,UI elements misaligned on Safari,Medium,Fixed,43,20.6,2023-05-21
v2.2,Login,BUG-1110,Authentication token expiry issue,High,Open,24,22.1,2023-04-03
v2.0,Dashboard,BUG-1111,API returns 500 error,Low,Fixed,24,16.2,2023-10-07
v3.0,Database,BUG-1112,Authentication token expiry issue,Medium,Fixed,8,14.3,2023-03-19
v3.0,API,BUG-1113,Filter not working on date range,Medium,Fixed,1,8.3,2023-05-07
v2.2,Notifications,BUG-1114,Push notification not received,Medium,Fixed,24,3.7,2023-08-28
v2.1,Profile,BUG-1115,Password reset link expiring early,Low,Open,30,27.3,2023-11-06
v1.0,Login,BUG-1116,Authentication token expiry issue,High,Open,16,26.7,2023-05-19
v2.2,UI,BUG-1117,Slow query execution in reports,Medium,Fixed,27,19.8,2024-05-16
v1.2,Login,BUG-1118,Incorrect data displayed after refresh,Low,Fixed,16,25.7,2023-04-12
v2.2,Profile,BUG-1119,Payment gateway timeout,Medium,Open,8,28.5,2024-04-10
v2.2,Auth,BUG-1120,NullPointerException in login flow,Low,Fixed,9,,2023-07-30
v1.1,Auth,BUG-1121,API returns 500 error,High,Open,50,,2024-09-02
v1.1,Dashboard,BUG-1122,Filter not working on date range,Low,Open,43,,2023-05-15
v1.1,Auth,BUG-1123,Crash on empty form submission,Low,Fixed,9,22.4,2024-06-22
v2.0,Profile,BUG-1124,CSV export missing columns,Medium,Fixed,15,28.4,2023-02-14
v2.2,UI,BUG-1125,Authentication token expiry issue,Medium,Reopened,4,30.0,2024-02-16
v2.2,Database,BUG-1126,Dashboard not loading on mobile,High,Fixed,10,2.4,2023-10-09
v2.2,Profile,BUG-1127,Memory leak in background service,High,Fixed,30,15.4,2024-03-16
v3.0,UI,BUG-1128,API returns 500 error,Medium,Reopened,27,10.5,2024-04-09
v1.2,API,BUG-1129,Crash on empty form submission,Medium,Fixed,10,,2024-04-30
v1.0,API,BUG-1130,Search returns wrong results,Medium,Fixed,9,16.9,2024-08-23
v2.2,Payment,BUG-1131,Slow query execution in reports,Medium,Fixed,49,13.0,2023-02-22
v1.2,Payment,BUG-1132,Push notification not received,Medium,Open,31,7.1,2023-04-21
v1.0,Notifications,BUG-1133,Push notification not received,Low,Fixed,36,29.2,2024-09-28
v1.0,Auth,BUG-1134,UI elements misaligned on Safari,Low,Fixed,49,9.6,2023-12-14
v1.1,Auth,BUG-1135,Memory leak in background service,Low,Fixed,2,3.2,2024-06-27
v1.2,Dashboard,BUG-1136,Incorrect data displayed after refresh,Medium,Fixed,37,18.1,2023-02-23
v1.0,Payment,BUG-1137,UI elements misaligned on Safari,Medium,Fixed,39,13.5,2023-10-07
v1.2,API,BUG-1138,Search returns wrong results,Low,Fixed,32,,2023-11-12
v2.1,Login,BUG-1139,NullPointerException in login flow,Low,Reopened,50,4.5,2023-09-19
v2.0,API,BUG-1140,Profile picture not uploading,Low,Fixed,15,15.3,2024-11-15
v3.0,Login,BUG-1141,Slow query execution in reports,Low,Reopened,21,17.5,2024-08-10
v1.2,Payment,BUG-1142,Memory leak in background service,Low,Fixed,40,14.1,2024-12-07
v3.0,Payment,BUG-1143,Database connection drops randomly,Medium,Fixed,6,12.2,2023-11-14
v3.0,Dashboard,BUG-1144,Dashboard not loading on mobile,Medium,Open,33,6.2,2023-12-24
v2.2,Dashboard,BUG-1145,Database connection drops randomly,Low,Fixed,12,,2024-11-02
v2.2,Database,BUG-1146,Button unresponsive after first click,High,Fixed,29,20.6,2024-08-01
v1.2,Profile,BUG-1147,Notification delay observed,Medium,Fixed,41,9.4,2023-10-09
v1.0,Notifications,BUG-1148,Button unresponsive after first click,Medium,Open,19,2.8,2023-04-03
v2.0,Auth,BUG-1149,Filter not working on date range,High,Fixed,3,13.8,2024-08-08
v2.0,UI,BUG-1150,Notification delay observed,High,Fixed,22,29.5,2023-03-28
v1.1,Database,BUG-1151,Button unresponsive after first click,Medium,Fixed,24,11.5,2023-10-17
v2.2,Auth,BUG-1152,Payment gateway timeout,High,Fixed,5,10.2,2024-07-25
v2.2,Auth,BUG-1153,Notification delay observed,Medium,Fixed,10,27.5,2023-11-14
v2.0,Dashboard,BUG-1154,Password reset link expiring early,Medium,Open,36,11.6,2023-12-03
v3.0,UI,BUG-1155,Dashboard not loading on mobile,Medium,Fixed,24,1.0,2023-11-13
v3.0,Database,BUG-1156,API returns 500 error,Low,Open,5,9.2,2023-04-14
v2.2,UI,BUG-1157,Payment gateway timeout,Medium,Reopened,40,4.4,2024-01-21
v2.2,Auth,BUG-1158,Profile picture not uploading,Medium,Open,24,20.5,2023-09-01
v3.0,Database,BUG-1159,Database connection drops randomly,Medium,Fixed,31,27.2,2023-07-18
v2.0,Database,BUG-1160,Authentication token expiry issue,High,Fixed,27,29.0,2023-07-24
v1.2,Login,BUG-1161,Session timeout too aggressive,High,Fixed,7,21.5,2024-06-12
v3.0,Dashboard,BUG-1162,UI elements misaligned on Safari,Medium,Fixed,28,3.2,2023-08-16
v1.0,API,BUG-1163,Payment gateway timeout,Medium,Fixed,25,29.8,2024-01-19
v1.0,Profile,BUG-1164,Notification delay observed,Low,Fixed,31,21.0,2023-05-23
v2.1,Login,BUG-1165,Dashboard not loading on mobile,Low,Open,10,16.7,2024-09-15
v1.2,Search,BUG-1166,Authentication token expiry issue,Low,Open,41,,2024-04-13
v2.0,Auth,BUG-1167,Filter not working on date range,Low,Fixed,16,21.7,2023-10-26
v1.1,Auth,BUG-1168,Slow query execution in reports,Low,Fixed,34,29.3,2023-03-11
v3.0,UI,BUG-1169,Filter not working on date range,,Reopened,3,19.3,2024-01-18
v3.0,Payment,BUG-1170,Incorrect data displayed after refresh,Low,Fixed,7,23.3,2023-12-07
v1.2,Dashboard,BUG-1171,Button unresponsive after first click,High,Fixed,12,24.4,2023-03-06
v1.0,Notifications,BUG-1172,API returns 500 error,Low,Open,3,9.8,2023-11-14
v2.1,Database,BUG-1173,UI elements misaligned on Safari,Low,Fixed,19,11.0,2023-02-18
v1.0,Profile,BUG-1174,Slow query execution in reports,High,Fixed,25,10.5,2023-07-11
v3.0,UI,BUG-1175,UI elements misaligned on Safari,High,Fixed,6,13.2,2023-07-04
v1.0,Profile,BUG-1176,Authentication token expiry issue,,Fixed,28,5.4,2024-03-30
v3.0,Profile,BUG-1177,Password reset link expiring early,High,Fixed,4,2.7,2024-10-14
v2.2,Dashboard,BUG-1178,NullPointerException in login flow,Low,Fixed,29,1.5,2023-03-10
v1.2,API,BUG-1179,Push notification not received,Low,Open,29,28.5,2024-01-16
v1.1,UI,BUG-1180,Incorrect data displayed after refresh,Medium,Fixed,16,28.8,2023-01-27
v2.0,UI,BUG-1181,Search returns wrong results,Low,Fixed,29,6.8,2024-09-18
v2.0,Search,BUG-1182,Search returns wrong results,Low,Open,12,27.0,2024-03-31
v3.0,Profile,BUG-1183,Incorrect data displayed after refresh,Medium,Fixed,19,26.8,2023-06-11
v2.2,Dashboard,BUG-1184,Incorrect data displayed after refresh,,Open,13,23.9,2023-08-31
v2.1,Auth,BUG-1185,Incorrect data displayed after refresh,Medium,Reopened,9,,2023-03-30
v2.2,Database,BUG-1186,CSV export missing columns,Medium,Fixed,37,2.7,2023-11-21
v2.2,UI,BUG-1187,Incorrect data displayed after refresh,Low,Reopened,36,19.4,2023-07-06
v2.1,Login,BUG-1188,Search returns wrong results,Medium,Fixed,11,10.0,2024-12-27
v2.1,Notifications,BUG-1189,Dashboard not loading on mobile,Low,Fixed,36,8.6,2024-10-02
v2.1,Dashboard,BUG-1190,Push notification not received,High,Open,43,18.9,2024-09-11
v1.0,Login,BUG-1191,Dashboard not loading on mobile,Low,Fixed,37,8.3,2023-08-04
v2.2,Login,BUG-1192,Session timeout too aggressive,High,Fixed,42,28.7,2024-05-09
v2.0,Notifications,BUG-1193,Button unresponsive after first click,Low,Open,29,12.8,2024-04-20
v1.2,Profile,BUG-1194,Incorrect data displayed after refresh,High,Open,24,15.7,2023-04-19
v1.2,Database,BUG-1195,Database connection drops randomly,Low,Open,25,26.0,2024-03-04
v1.1,Profile,BUG-1196,Push notification not received,Medium,Open,11,15.2,2024-06-11
v2.0,Login,BUG-1197,Dashboard not loading on mobile,High,Fixed,16,,2023-12-28
v2.1,Database,BUG-1198,Authentication token expiry issue,Medium,Reopened,28,4.5,2023-09-28
v1.2,Login,BUG-1199,Memory leak in background service,Low,Fixed,24,16.8,2023-03-17
v2.1,Notifications,BUG-1200,Password reset link expiring early,Medium,Open,7,12.1,2023-12-14
v1.1,Search,BUG-1201,Password reset link expiring early,Medium,Fixed,3,1.6,2024-12-31
v2.0,Dashboard,BUG-1202,Password reset link expiring early,High,Open,40,9.9,2024-02-07
v1.2,Auth,BUG-1203,Crash on empty form submission,,Fixed,32,21.4,2023-11-03
v1.2,Payment,BUG-1204,Slow query execution in reports,Medium,Fixed,47,,2024-10-06
v2.2,Auth,BUG-1205,Push notification not received,Low,Open,31,5.5,2024-10-06
v2.0,Dashboard,BUG-1206,Database connection drops randomly,Low,Reopened,8,6.1,2024-03-27
v2.2,Search,BUG-1207,Slow query execution in reports,Medium,Fixed,31,26.2,2023-03-05
v2.1,Profile,BUG-1208,Session timeout too aggressive,Medium,Fixed,12,14.1,2024-06-29
v3.0,Notifications,BUG-1209,Password reset link expiring early,Medium,Reopened,18,17.0,2023-08-19
v3.0,Notifications,BUG-1210,API returns 500 error,Medium,Fixed,31,10.8,2023-10-08
v2.1,API,BUG-1211,Memory leak in background service,High,Reopened,10,9.1,2023-10-22
v2.0,Notifications,BUG-1212,Session timeout too aggressive,Low,Reopened,18,28.0,2024-12-13
v2.2,Auth,BUG-1213,Database connection drops randomly,Low,Fixed,34,,2023-08-27
v2.2,Database,BUG-1214,Search returns wrong results,Medium,Open,36,29.3,2023-06-11
v2.0,Database,BUG-1215,API returns 500 error,High,Fixed,19,19.6,2023-04-02
v2.2,Login,BUG-1216,Profile picture not uploading,Medium,Reopened,3,29.9,2024-02-11
v2.2,Notifications,BUG-1217,Payment gateway timeout,Low,Fixed,7,27.9,2023-12-10
v2.1,UI,BUG-1218,Session timeout too aggressive,High,Open,33,14.3,2023-07-17
v2.2,Database,BUG-1219,UI elements misaligned on Safari,Medium,Open,22,23.8,2024-08-04
v2.1,API,BUG-1220,Slow query execution in reports,Medium,Open,43,3.3,2023-05-24
v1.0,Notifications,BUG-1221,Memory leak in background service,Low,Fixed,22,,2024-08-09
v2.2,Search,BUG-1222,Payment gateway timeout,Medium,Fixed,11,12.5,2024-05-29
v3.0,Notifications,BUG-1223,Search returns wrong results,Medium,Reopened,24,18.6,2023-08-13
v2.0,Auth,BUG-1224,Incorrect data displayed after refresh,Medium,Fixed,31,22.8,2024-11-11
v2.2,Auth,BUG-1225,Dashboard not loading on mobile,Medium,Fixed,24,2.8,2024-07-31
v2.1,Search,BUG-1226,Push notification not received,Medium,Open,34,13.5,2024-11-27
v1.0,UI,BUG-1227,Button unresponsive after first click,High,Fixed,33,,2024-07-31
v3.0,Notifications,BUG-1228,NullPointerException in login flow,Medium,Reopened,48,,2023-03-16
v1.0,UI,BUG-1229,Payment gateway timeout,High,Open,31,1.4,2024-02-23
v2.2,API,BUG-1230,Incorrect data displayed after refresh,High,Fixed,25,11.6,2024-11-30
v1.1,Profile,BUG-1231,Search returns wrong results,Low,Fixed,34,4.3,2023-08-17
v1.2,Database,BUG-1232,Filter not working on date range,Medium,Fixed,15,7.8,2023-12-21
v2.2,Payment,BUG-1233,Payment gateway timeout,High,Fixed,50,28.1,2023-01-17
v2.1,Login,BUG-1234,Button unresponsive after first click,Medium,Fixed,4,7.7,2023-02-15
v1.1,Login,BUG-1235,Notification delay observed,Medium,Fixed,47,17.5,2024-08-14
v1.2,Search,BUG-1236,Authentication token expiry issue,High,Reopened,34,7.0,2023-11-04
v2.1,Dashboard,BUG-1237,Slow query execution in reports,Medium,Open,23,28.3,2024-11-18
v2.2,API,BUG-1238,Slow query execution in reports,Low,Fixed,49,16.4,2023-09-04
v2.2,Dashboard,BUG-1239,Button unresponsive after first click,High,Fixed,27,16.9,2023-05-18
v1.2,Payment,BUG-1240,Button unresponsive after first click,High,Open,47,25.0,2023-02-22
v2.1,Login,BUG-1241,Dashboard not loading on mobile,Low,Fixed,47,20.3,2023-08-11
v1.2,Notifications,BUG-1242,NullPointerException in login flow,Low,Open,48,4.0,2024-05-05
v2.2,Search,BUG-1243,Memory leak in background service,High,Fixed,50,8.9,2024-04-22
v1.2,Profile,BUG-1244,CSV export missing columns,High,Fixed,47,14.3,2023-11-24
v2.0,Login,BUG-1245,Push notification not received,High,Fixed,2,8.2,2024-08-21
v1.1,Search,BUG-1246,Crash on empty form submission,Low,Fixed,16,15.2,2024-11-01
v3.0,Database,BUG-1247,Session timeout too aggressive,Medium,Fixed,23,5.5,2024-07-13
