App_Version,Module,Bug_ID,Bug_Description,Severity,Status,Occurrences,Time_to_Fix_Days,Release_Date
v2.1,Login,BUG-1248,CSV export missing columns,Low,Reopened,43,1.9,2023-01-07
v1.1,Payment,BUG-1249,Notification delay observed,Low,Fixed,24,2.3,2024-10-15
v2.0,Database,BUG-1250,NullPointerException in login flow,Low,Fixed,1,1.0,2023-10-09
v2.1,API,BUG-1251,Profile picture not uploading,Low,Open,10,7.6,2024-09-26
v1.2,API,BUG-1252,Dashboard not loading on mobile,Medium,Fixed,37,7.7,2024-12-14
v3.0,Payment,BUG-1253,Payment gateway timeout,Low,Fixed,36,,2024-10-14
v2.0,API,BUG-1254,Crash on empty form submission,Medium,Reopened,7,26.9,2023-02-13
v2.2,Auth,BUG-1255,Session timeout too aggressive,,Reopened,44,27.8,2024-07-10
v3.0,Profile,BUG-1256,NullPointerException in login flow,High,Fixed,49,24.7,2024-02-12
v2.1,Search,BUG-1257,Push notification not received,High,Fixed,35,10.3,2023-05-24
v1.0,UI,BUG-1258,Incorrect data displayed after refresh,Low,Fixed,5,10.5,2024-09-20
v3.0,Profile,BUG-1259,NullPointerException in login flow,Medium,Fixed,29,15.0,2023-12-31
v1.1,Auth,BUG-1260,Memory leak in background service,Low,Fixed,16,21.5,2023-03-26
v3.0,Dashboard,BUG-1261,Memory leak in background service,Medium,Open,1,28.3,2024-03-31
v1.1,Payment,BUG-1262,Profile picture not uploading,Medium,Fixed,33,12.5,2023-01-27
v2.1,Auth,BUG-1263,Crash on empty form submission,High,Open,27,11.9,2023-03-28
v1.1,Auth,BUG-1264,CSV export missing columns,Low,Fixed,9,8.4,2023-10-02
v2.0,Notifications,BUG-1265,Slow query execution in reports,Low,Fixed,24,7.9,2023-09-10
v2.1,Search,BUG-1266,Button unresponsive after first click,Low,Fixed,26,10.3,2024-09-27
v2.0,Profile,BUG-1267,Slow query execution in reports,High,Reopened,39,4.5,2023-11-25
v2.0,Profile,BUG-1268,Profile picture not uploading,High,Reopened,19,22.2,2024-10-10
v1.1,Profile,BUG-1269,Memory leak in background service,Low,Fixed,24,3.9,2024-07-31
v1.1,UI,BUG-1270,NullPointerException in login flow,High,Fixed,46,6.7,2023-10-26
v3.0,API,BUG-1271,Session timeout too aggressive,Low,Fixed,17,19.9,2024-03-09
v2.1,Database,BUG-1272,Push notification not received,Medium,Fixed,45,12.8,2023-02-07
v3.0,UI,BUG-1273,Password reset link expiring early,Medium,Open,50,7.8,2024-11-11
v1.0,Auth,BUG-1274,Memory leak in background service,High,Fixed,28,3.6,2023-04-11
v2.1,UI,BUG-1275,Push notification not received,Medium,Open,24,12.0,2024-11-26
v1.2,Login,BUG-1276,Session timeout too aggressive,Low,Fixed,6,3.9,2023-05-26
v3.0,Search,BUG-1277,CSV export missing columns,Medium,Fixed,29,21.8,2024-04-08
v3.0,Payment,BUG-1278,NullPointerException in login flow,High,Fixed,44,24.1,2023-09-07
v1.2,UI,BUG-1279,Slow query execution in reports,High,Open,26,19.1,2023-07-10
v1.0,Auth,BUG-1280,API returns 500 error,Medium,Fixed,1,21.3,2023-07-30
v3.0,Payment,BUG-1281,Push notification not received,Low,Reopened,12,11.3,2023-07-21
v3.0,Database,BUG-1282,CSV export missing columns,High,Fixed,25,18.5,2024-08-24
v2.0,Auth,BUG-1283,Profile picture not uploading,High,Fixed,20,27.6,2024-08-27
v1.0,Search,BUG-1284,Authentication token expiry issue,Low,Fixed,10,15.6,2024-03-04
v2.0,Dashboard,BUG-1285,Session timeout too aggressive,Medium,Fixed,42,28.0,2023-06-27
v1.1,Dashboard,BUG-1286,Crash on empty form submission,High,Fixed,23,28.6,2024-05-11
v2.1,UI,BUG-1287,Session timeout too aggressive,Medium,Fixed,46,25.3,2024-05-15
v3.0,Search,BUG-1288,Authentication token expiry issue,Low,Open,19,5.5,2024-04-13
v2.0,UI,BUG-1289,CSV export missing columns,Low,Open,50,16.5,2024-01-11
v3.0,Database,BUG-1290,Filter not working on date range,Low,Fixed,48,25.0,2023-09-11
v2.0,Notifications,BUG-1291,Incorrect data displayed after refresh,High,Open,8,23.4,2023-08-31
v2.2,Profile,BUG-1292,Password reset link expiring early,Medium,Open,9,23.7,2023-07-31
v2.1,Notifications,BUG-1293,Password reset link expiring early,Medium,Fixed,46,9.1,2024-08-09
v2.2,Payment,BUG-1294,Notification delay observed,High,Fixed,4,29.8,2024-11-02
v1.1,Dashboard,BUG-1295,Crash on empty form submission,High,Fixed,44,12.1,2023-05-26
v2.0,API,BUG-1296,Button unresponsive after first click,Low,Fixed,50,3.2,2024-06-11
v1.2,Database,BUG-1297,Session timeout too aggressive,Medium,Open,50,25.5,2023-04-06
v2.2,Profile,BUG-1298,Dashboard not loading on mobile,High,Fixed,28,24.8,2024-05-21
v1.2,UI,BUG-1299,Push notification not received,Low,Reopened,22,,2023-02-19
v3.0,Database,BUG-1300,NullPointerException in login flow,Low,Reopened,29,14.0,2024-03-14
v1.1,Notifications,BUG-1301,Profile picture not uploading,High,Reopened,6,19.8,2023-09-14
v2.2,Dashboard,BUG-1302,Payment gateway timeout,Medium,Fixed,45,22.8,2024-03-15
v1.0,Search,BUG-1303,Session timeout too aggressive,Low,Fixed,34,,2023-01-10
v1.0,API,BUG-1304,Notification delay observed,Medium,Open,6,22.1,2023-04-15
v1.2,Dashboard,BUG-1305,Memory leak in background service,High,Fixed,9,19.4,2024-11-24
v1.0,Auth,BUG-1306,Profile picture not uploading,Medium,Fixed,41,22.6,2024-02-26
v1.1,Payment,BUG-1307,Search returns wrong results,Low,Open,47,11.8,2024-03-15
v1.2,Payment,BUG-1308,Database connection drops randomly,Medium,Fixed,39,,2024-12-08
v1.2,Search,BUG-1309,CSV export missing columns,Medium,Open,26,9.2,2023-02-25
v1.1,Database,BUG-1310,Memory leak in background service,Low,Fixed,39,2.6,2023-01-13
v1.1,API,BUG-1311,Push notification not received,Medium,Fixed,12,,2023-03-16
v1.2,Search,BUG-1312,Payment gateway timeout,High,Reopened,26,15.4,2024-10-05
v2.0,API,BUG-1313,Dashboard not loading on mobile,Medium,Fixed,10,,2023-11-14
v3.0,Dashboard,BUG-1314,Filter not working on date range,Medium,Fixed,49,25.1,2024-11-28
v2.0,Search,BUG-1315,Payment gateway timeout,Low,Reopened,8,,2024-09-15
v2.2,Dashboard,BUG-1316,Search returns wrong results,Low,Open,1,5.3,2023-12-22
v2.2,Notifications,BUG-1317,Profile picture not uploading,,Fixed,18,22.1,2023-05-01
v3.0,API,BUG-1318,UI elements misaligned on Safari,Medium,Fixed,37,19.0,2024-05-23
v2.0,Auth,BUG-1319,Profile picture not uploading,Medium,Fixed,7,26.9,2024-11-21
v2.1,Login,BUG-1320,Payment gateway timeout,High,Open,3,14.4,2024-01-28
v3.0,Login,BUG-1321,Filter not working on date range,High,Fixed,42,12.9,2023-11-26
v1.2,Notifications,BUG-1322,Dashboard not loading on mobile,Medium,Open,44,27.1,2023-07-03
v1.0,API,BUG-1323,Dashboard not loading on mobile,High,Reopened,50,25.4,2023-12-02
v1.2,Search,BUG-1324,Authentication token expiry issue,Medium,Fixed,40,7.7,2024-01-13
v3.0,Search,BUG-1325,Filter not working on date range,High,Open,1,28.0,2023-01-25
v3.0,Login,BUG-1326,Crash on empty form submission,Low,Fixed,48,22.0,2023-04-17
v2.0,Database,BUG-1327,Payment gateway timeout,High,Open,18,3.2,2023-08-26
v2.2,Profile,BUG-1328,Button unresponsive after first click,High,Open,7,15.4,2024-10-14
v2.1,Login,BUG-1329,Slow query execution in reports,Medium,Open,19,8.2,2023-11-19
v3.0,Profile,BUG-1330,Crash on empty form submission,Medium,Open,13,4.5,2024-08-21
v2.0,Database,BUG-1331,Crash on empty form submission,Medium,Fixed,50,6.6,2023-11-12
v1.0,Dashboard,BUG-1332,Authentication token expiry issue,High,Fixed,3,6.8,2023-12-02
v1.2,API,BUG-1333,CSV export missing columns,Low,Fixed,12,1.4,2024-02-19
v2.1,Search,BUG-1334,Search returns wrong results,Medium,Reopened,9,4.1,2023-03-05
v1.1,Search,BUG-1335,Memory leak in background service,Medium,Fixed,42,3.0,2024-08-23
v1.0,Payment,BUG-1336,API returns 500 error,High,Fixed,9,3.2,2023-12-06
v1.0,Dashboard,BUG-1337,Push notification not received,Medium,Fixed,32,1.4,2024-11-30
v1.1,Notifications,BUG-1338,UI elements misaligned on Safari,Medium,Open,40,18.8,2023-09-09
v2.1,Database,BUG-1339,Payment gateway timeout,Low,Fixed,27,6.4,2024-06-22
v2.1,Login,BUG-1340,Memory leak in background service,High,Fixed,35,23.6,2023-12-19
v2.0,Notifications,BUG-1341,Profile picture not uploading,Low,Fixed,2,,2023-10-15
v2.1,Profile,BUG-1342,Push notification not received,High,Reopened,7,7.8,2023-09-04
v2.2,Login,BUG-1343,Database connection drops randomly,Medium,Reopened,25,11.0,2023-06-27
v3.0,Profile,BUG-1344,Push notification not received,Low,Fixed,37,17.1,2024-07-30
v3.0,Database,BUG-1345,Filter not working on date range,Medium,Fixed,6,2.2,2024-09-08
v1.0,Profile,BUG-1346,Password reset link expiring early,Low,Open,46,,2023-11-28
v2.2,Dashboard,BUG-1347,Search returns wrong results,High,Reopened,5,11.5,2024-11-09
v1.2,Profile,BUG-1348,Notification delay observed,High,Fixed,28,23.9,2024-05-13
v2.1,Auth,BUG-1349,Incorrect data displayed after refresh,Low,Fixed,12,11.7,2024-12-06
v1.0,Auth,BUG-1350,Memory leak in background service,High,Fixed,37,1.5,2024-09-08
v2.1,Search,BUG-1351,Push notification not received,Low,Fixed,22,22.5,2023-09-01
v2.2,Payment,BUG-1352,Crash on empty form submission,Medium,Fixed,16,20.9,2023-12-25
v1.0,Login,BUG-1353,Memory leak in background service,Medium,Fixed,11,26.6,2024-05-19
v2.0,Payment,BUG-1354,Session timeout too aggressive,High,Fixed,49,20.8,2023-06-16
v1.0,Notifications,BUG-1355,NullPointerException in login flow,Medium,Reopened,5,10.6,2024-01-20
v1.0,Profile,BUG-1356,Password reset link expiring early,High,Reopened,46,1.4,2024-10-31
v1.1,Login,BUG-1357,Search returns wrong results,Medium,Reopened,27,21.1,2024-07-07
v1.1,Payment,BUG-1358,Payment gateway timeout,Medium,Fixed,32,,2024-01-05
v3.0,Auth,BUG-1359,Session timeout too aggressive,Low,Open,11,19.3,2023-03-25
v3.0,API,BUG-1360,Session timeout too aggressive,Medium,Fixed,6,19.4,2024-02-01
v1.2,Dashboard,BUG-1361,Button unresponsive after first click,Low,Fixed,17,7.2,2023-10-03
v2.2,Payment,BUG-1362,Dashboard not loading on mobile,Medium,Reopened,27,29.1,2024-08-26
v2.0,UI,BUG-1363,Slow query execution in reports,High,Fixed,31,17.4,2023-08-30
v3.0,Login,BUG-1364,CSV export missing columns,Medium,Fixed,37,20.5,2024-09-27
v2.0,Dashboard,BUG-1365,Profile picture not uploading,High,Reopened,9,1.8,2023-03-22
v3.0,Dashboard,BUG-1366,Password reset link expiring early,Low,Reopened,5,3.1,2024-07-23
v1.2,UI,BUG-1367,Button unresponsive after first click,High,Open,45,18.9,2024-06-19
v1.1,Dashboard,BUG-1368,Push notification not received,Medium,Fixed,7,27.8,2024-07-30
v3.0,UI,BUG-1369,Incorrect data displayed after refresh,High,Fixed,42,14.8,2024-09-15
v2.0,Dashboard,BUG-1370,Password reset link expiring early,,Fixed,3,12.2,2023-12-06
v2.0,Notifications,BUG-1371,Incorrect data displayed after refresh,Low,Reopened,20,9.7,2024-05-18
v3.0,Search,BUG-1372,Notification delay observed,Medium,Fixed,50,24.9,2023-10-03
v1.0,Search,BUG-1373,Button unresponsive after first click,Low,Reopened,48,14.8,2024-06-12
v2.1,Dashboard,BUG-1374,Dashboard not loading on mobile,,Fixed,9,23.5,2024-06-20
v1.1,Search,BUG-1375,Payment gateway timeout,Low,Fixed,24,21.3,2023-10-08
v2.0,Payment,BUG-1376,NullPointerException in login flow,Low,Fixed,29,5.7,2024-04-30
v1.1,Notifications,BUG-1377,Dashboard not loading on mobile,Low,Fixed,11,25.7,2023-08-08
v2.2,Search,BUG-1378,UI elements misaligned on Safari,Medium,Fixed,50,,2024-11-29
v2.2,Dashboard,BUG-1379,Password reset link expiring early,High,Open,39,24.3,2023-11-09
v1.2,API,BUG-1380,Memory leak in background service,High,Fixed,14,14.3,2024-11-24
v2.1,Payment,BUG-1381,NullPointerException in login flow,Medium,Fixed,24,17.1,2024-08-31
v1.0,Database,BUG-1382,Dashboard not loading on mobile,Medium,Fixed,21,25.9,2023-09-25
v2.2,Notifications,BUG-1383,API returns 500 error,Low,Fixed,4,24.3,2024-09-06
v1.1,Login,BUG-1384,Session timeout too aggressive,High,Fixed,27,12.4,2023-02-06
v3.0,Search,BUG-1385,Crash on empty form submission,Medium,Open,35,19.3,2024-05-02
v2.1,Notifications,BUG-1386,Profile picture not uploading,High,Reopened,12,9.2,2024-04-27
v3.0,UI,BUG-1387,Profile picture not uploading,High,Reopened,42,3.1,2023-12-30
v2.0,Profile,BUG-1388,Incorrect data displayed after refresh,Low,Fixed,8,14.4,2024-10-11
v1.0,Database,BUG-1389,API returns 500 error,Medium,Reopened,25,,2024-02-28
v1.1,Search,BUG-1390,Crash on empty form submission,Medium,Fixed,30,4.7,2023-07-04
v2.2,Dashboard,BUG-1391,Crash on empty form submission,Medium,Open,18,6.7,2023-06-22
v3.0,Payment,BUG-1392,Notification delay observed,,Fixed,26,13.2,2024-05-03
v1.1,Profile,BUG-1393,NullPointerException in login flow,High,Fixed,34,,2024-11-23
v1.1,Profile,BUG-1394,Authentication token expiry issue,Low,Fixed,38,9.5,2023-03-08
v1.2,Database,BUG-1395,CSV export missing columns,Medium,Fixed,44,29.9,2023-12-17
v3.0,Search,BUG-1396,Profile picture not uploading,High,Reopened,26,1.1,2023-08-18
v2.2,Login,BUG-1397,Push notification not received,Medium,Open,46,19.7,2023-02-08
v3.0,UI,BUG-1398,Password reset link expiring early,Low,Reopened,43,,2023-01-21
v2.0,API,BUG-1399,Search returns wrong results,Medium,Fixed,10,6.6,2024-12-03
v2.2,Payment,BUG-1400,CSV export missing columns,Low,Fixed,9,12.9,2023-04-18
v1.2,Payment,BUG-1401,Search returns wrong results,Medium,Fixed,50,8.3,2024-06-19
v2.0,Notifications,BUG-1402,Profile picture not uploading,,Fixed,14,20.8,2024-05-07
v2.2,Payment,BUG-1403,Search returns wrong results,High,Fixed,10,,2024-06-07
v1.2,Search,BUG-1404,Button unresponsive after first click,High,Fixed,30,2.0,2023-06-28
v1.2,Profile,BUG-1405,Slow query execution in reports,Medium,Open,49,26.8,2023-01-10
v1.1,Profile,BUG-1406,Incorrect data displayed after refresh,High,Reopened,18,26.4,2023-04-06
v1.0,API,BUG-1407,Memory leak in background service,High,Fixed,25,20.9,2024-05-04
v3.0,Dashboard,BUG-1408,Search returns wrong results,Low,Fixed,11,3.6,2024-08-27
v2.0,Dashboard,BUG-1409,Password reset link expiring early,Medium,Fixed,2,25.9,2023-05-14
v2.0,Database,BUG-1410,Payment gateway timeout,Low,Fixed,1,21.3,2024-11-25
v2.2,Auth,BUG-1411,Database connection drops randomly,High,Fixed,22,15.8,2024-12-05
v2.2,Search,BUG-1412,Session timeout too aggressive,Medium,Fixed,25,4.9,2024-07-25
v1.0,Dashboard,BUG-1413,CSV export missing columns,High,Reopened,11,2.7,2024-05-18
v1.2,Login,BUG-1414,CSV export missing columns,Low,Fixed,26,24.6,2023-03-22
v2.0,Payment,BUG-1415,Session timeout too aggressive,Medium,Open,32,22.5,2023-01-19
v2.1,UI,BUG-1416,NullPointerException in login flow,High,Fixed,40,19.3,2024-06-04
v2.0,Profile,BUG-1417,Incorrect data displayed after refresh,High,Reopened,30,10.3,2024-09-26
v1.2,Database,BUG-1418,Search returns wrong results,Low,Fixed,1,10.6,2024-10-10
v2.1,Profile,BUG-1419,Search returns wrong results,Low,Open,9,24.7,2024-02-24
v1.1,Payment,BUG-1420,Memory leak in background service,,Reopened,13,21.6,2023-04-21
v2.2,Auth,BUG-1421,Search returns wrong results,High,Fixed,43,17.9,2024-05-31
v2.1,Login,BUG-1422,Filter not working on date range,High,Reopened,31,27.8,2023-07-01
v3.0,Dashboard,BUG-1423,Search returns wrong results,Medium,Fixed,21,15.4,2024-01-29
v2.2,Search,BUG-1424,UI elements misaligned on Safari,Medium,Fixed,19,13.9,2023-05-17
v2.2,UI,BUG-1425,Authentication token expiry issue,High,Fixed,21,21.5,2024-07-20
v2.1,Notifications,BUG-1426,Incorrect data displayed after refresh,High,Open,46,19.7,2023-07-02
v1.2,Payment,BUG-1427,Incorrect data displayed after refresh,Medium,Fixed,43,21.4,2024-11-21
v1.2,API,BUG-1428,NullPointerException in login flow,Medium,Open,10,2.1,2023-02-27
v1.1,Notifications,BUG-1429,UI elements misaligned on Safari,Low,Open,19,,2024-07-08
v1.0,Auth,BUG-1430,Filter not working on date range,High,Fixed,36,12.0,2024-06-07
v1.2,Login,BUG-1431,Memory leak in background service,Medium,Reopened,44,,2024-07-19
v1.1,Auth,BUG-1432,Button unresponsive after first click,High,Reopened,46,21.4,2024-01-12
v2.1,Search,BUG-1433,API returns 500 error,Low,Open,44,2.7,2023-06-27
v1.0,API,BUG-1434,UI elements misaligned on Safari,Medium,Open,38,25.5,2023-01-06
v1.1,Login,BUG-1435,Notification delay observed,High,Fixed,50,28.0,2024-09-22
v3.0,Auth,BUG-1436,Filter not working on date range,Medium,Fixed,21,16.0,2023-07-08
v1.1,API,BUG-1437,Filter not working on date range,Medium,Open,15,26.6,2024-11-10
v1.1,Auth,BUG-1438,CSV export missing columns,Medium,Fixed,49,29.4,2023-01-10
v1.1,Auth,BUG-1439,Password reset link expiring early,Low,Open,21,11.8,2023-04-27
v1.2,Login,BUG-1440,CSV export missing columns,High,Fixed,33,13.6,2023-02-14
v1.2,UI,BUG-1441,Dashboard not loading on mobile,High,Open,50,16.4,2023-01-08
v2.2,Search,BUG-1442,Slow query execution in reports,High,Open,45,26.4,2024-03-21
v2.2,Dashboard,BUG-1443,NullPointerException in login flow,Medium,Fixed,6,2.7,2023-07-02
v2.1,Search,BUG-1444,UI elements misaligned on Safari,Medium,Fixed,26,13.3,2023-01-18
v1.0,Auth,BUG-1445,Dashboard not loading on mobile,High,Fixed,45,25.5,2024-01-02
v3.0,Notifications,BUG-1446,Password reset link expiring early,Low,Fixed,29,,2024-11-07
v1.1,Dashboard,BUG-1447,Memory leak in background service,High,Reopened,19,28.8,2023-05-28
v3.0,Profile,BUG-1448,NullPointerException in login flow,Medium,Fixed,8,1.7,2024-08-09
v1.0,Notifications,BUG-1449,API returns 500 error,Medium,Reopened,23,6.7,2024-10-23
v1.1,Search,BUG-1450,Password reset link expiring early,High,Open,12,20.3,2024-08-03
v2.1,Database,BUG-1451,Filter not working on date range,Low,Fixed,17,3.4,2024-08-17
v1.1,Search,BUG-1452,Search returns wrong results,Low,Open,13,9.9,2024-04-06
v2.2,Auth,BUG-1453,Notification delay observed,Medium,Fixed,21,,2023-06-22
v1.1,API,BUG-1454,UI elements misaligned on Safari,High,Open,47,10.3,2024-05-06
v1.2,Database,BUG-1455,Filter not working on date range,Low,Fixed,6,25.3,2023-05-24
v2.2,Payment,BUG-1456,Dashboard not loading on mobile,High,Reopened,41,1.4,2024-08-18
v1.1,Login,BUG-1457,Filter not working on date range,Low,Reopened,35,14.4,2023-06-02
v3.0,Auth,BUG-1458,Authentication token expiry issue,Low,Fixed,6,,2024-05-29
v3.0,Auth,BUG-1459,Profile picture not uploading,High,Open,11,5.8,2024-08-02
v2.2,Database,BUG-1460,Incorrect data displayed after refresh,Low,Fixed,15,2.4,2024-01-14
v2.1,Profile,BUG-1461,Memory leak in background service,Medium,Fixed,3,1.7,2024-10-26
v2.1,Notifications,BUG-1462,UI elements misaligned on Safari,Medium,Fixed,25,19.8,2024-01-10
v1.0,UI,BUG-1463,UI elements misaligned on Safari,Medium,Reopened,34,12.5,2023-12-20
v2.1,Login,BUG-1464,CSV export missing columns,High,Fixed,15,2.8,2024-10-20
v1.1,Profile,BUG-1465,Password reset link expiring early,Medium,Open,15,12.7,2023-12-05
v2.0,Database,BUG-1466,API returns 500 error,Medium,Fixed,27,1.2,2023-02-14
v1.1,UI,BUG-1467,Payment gateway timeout,High,Open,11,8.1,2023-07-04
v2.1,Login,BUG-1468,Authentication token expiry issue,High,Open,39,29.8,2024-05-08
v2.1,Dashboard,BUG-1469,Push notification not received,High,Open,43,15.6,2023-06-21
v2.0,Auth,BUG-1470,Push notification not received,Low,Fixed,9,3.7,2023-07-27
v2.2,API,BUG-1471,Notification delay observed,Medium,Open,40,18.2,2024-06-28
v2.0,Dashboard,BUG-1472,Password reset link expiring early,Medium,Open,50,20.5,2024-03-17
v1.0,UI,BUG-1473,Slow query execution in reports,Low,Reopened,50,11.7,2024-08-26
v3.0,Auth,BUG-1474,Search returns wrong results,Medium,Fixed,50,7.4,2023-03-27
v2.0,Notifications,BUG-1475,API returns 500 error,Low,Fixed,1,17.6,2023-05-01
v1.1,Profile,BUG-1476,Slow query execution in reports,Medium,Open,42,17.8,2023-09-25
v1.2,Auth,BUG-1477,UI elements misaligned on Safari,High,Fixed,14,12.7,2024-07-24
v2.1,Database,BUG-1478,UI elements misaligned on Safari,High,Fixed,50,21.3,2023-05-22
v2.2,Search,BUG-1479,Button unresponsive after first click,High,Reopened,7,6.8,2024-02-15
v2.1,Login,BUG-1480,Profile picture not uploading,Medium,Fixed,6,24.8,2024-04-27
v1.0,Notifications,BUG-1481,Database connection drops randomly,Medium,Fixed,47,11.8,2024-02-15
v2.2,Auth,BUG-1482,Payment gateway timeout,High,Reopened,41,15.1,2023-01-11
v3.0,UI,BUG-1483,Authentication token expiry issue,Low,Fixed,33,15.7,2023-08-26
v1.2,Search,BUG-1484,NullPointerException in login flow,High,Open,18,23.5,2023-12-28
v1.1,UI,BUG-1485,NullPointerException in login flow,Medium,Open,6,16.7,2024-07-26
v3.0,Notifications,BUG-1486,Database connection drops randomly,Medium,Open,26,17.5,2023-09-25
v2.1,Payment,BUG-1487,CSV export missing columns,Low,Reopened,33,28.7,2024-07-04
v2.2,Database,BUG-1488,Memory leak in background service,Medium,Fixed,49,10.5,2024-04-14
v3.0,Login,BUG-1489,Session timeout too aggressive,Low,Open,41,23.8,2023-08-14
v1.2,API,BUG-1490,Incorrect data displayed after refresh,Medium,Open,17,7.8,2023-04-06
v1.2,Payment,BUG-1491,Filter not working on date range,High,Fixed,23,6.9,2024-08-10
v2.2,Search,BUG-1492,Session timeout too aggressive,Medium,Open,16,26.2,2023-07-31
v3.0,Auth,BUG-1493,Incorrect data displayed after refresh,,Open,6,20.4,2024-11-10
v3.0,UI,BUG-1494,Payment gateway timeout,High,Fixed,21,15.0,2024-08-11
v3.0,UI,BUG-1495,UI elements misaligned on Safari,Medium,Fixed,9,2.1,2024-03-09
v2.1,Profile,BUG-1496,Memory leak in background service,High,Fixed,30,29.3,2024-12-16
v1.0,Login,BUG-1497,API returns 500 error,Medium,Open,24,18.6,2023-09-23
v1.2,Database,BUG-1498,Password reset link expiring early,Medium,Open,28,6.7,2024-12-18
v2.0,Notifications,BUG-1499,Button unresponsive after first click,Low,Open,37,20.7,2023-04-13
